Fiú / Lány;;Mesha;;;Vrishaba;;;Midhuna;;;Karka;;;Simha;;;Kanya;;;Tula;;;Vriscika;;;Dhanu;;;Makara;;;Kumbha;;;Meena;;;;;;;
;;Aswini 1,2,3,4;Bharani 1,2,3,4;Krittika 1;Krittika 2,3,4;Rohini 1,2,3,4;Mrigashīrsha 1,2;Mrigashīrsha 3,4;Ardra 1,2,3,4;Punarvasu 1,2,3;Punarvasu 4;Pushya 1,2,3,4;Aslesha 1,2,3,4;Magha 1,2,3,4;Purvaphalguni 1,2,3,4;Uttara Phalgunī 1;Uttara Phalgunī 2,3,4;Hasta 1,2,3,4;Chitra 1,2;Chitra 3,4;Svati 1,2,3,4;Visakha 1,2,3;Visakha 4;Anuradha 1,2,3,4;Jyeshtha 1,2,3,4;Mula 1,2,3,4;Purvashadha 1,2,3,4;Uttara Ashadha 1;Uttara Ashadha 2,3,4;Sravana 1,2,3,4;Dhanishta 1,2;Dhanishta 3,4;Shatabhisha 1,2,3,4;Purvabhadrapada 1,2,3;Purvabhadrapada 4;Uttara Bhadrapada 1,2,3,4;Revati 1,2,3,4;;;;;
Mesha;Aswini 1,2,3,4;28;34;27;18;23;22;27;19;19;21;30;25;21;27;18;13;11;13;22;27;22;16;24;12;12;27;25;28;27;20;20;15;18;14;24;25;;Mesha;Aires;03-21;04-20
;Bharani 1,2,3,4;33;28;27;18;23;13;18;27;26;28;21;23;21;19;27;21;20;6;15;29;22;16;14;18;20;20;27;29;26;10;11;21;25;21;15;24;;Vrishaba;Taurus;04-21;05-21
;Krittika 1;28;29;28;19;10;15;21;21;22;23;26;22;17;21;22;16;16;19;28;17;20;14;19;24;24;19;14;16;13;26;26;28;20;16;18;11;;Midhuna;Gemini;05-22;06-21
Vrishaba;Krittika 2,3,4;18;19;17;28;19;27;18;18;19;20;23;19;18;22;23;21;21;25;23;12;15;19;24;29;19;13;8;14;10;23;30;32;24;19;21;21;;Karka;Cancer;06-22;07-22
;Rohini 1,2,3,4;21;22;9;19;28;34;25;24;23;24;24;12;11;25;27;25;26;20;20;16;10;14;27;22;13;20;11;17;17;20;27;25;31;26;25;17;;Simha;Leo;07-23;08-21
;Mrigashīrsha 1,2;22;15;15;25;36;28;20;26;24;25;17;21;19;17;25;23;26;12;12;27;18;22;20;22;14;12;18;22;26;12;19;25;31;26;17;26;;Kanya;Virgo;08-22;09-23
Midhuna;Mrigashīrsha 3,4;26;18;19;16;27;20;28;34;32;19;10;13;22;20;28;30;33;19;13;27;19;13;11;13;21;18;24;20;23;8;10;18;24;25;16;25;;Tula;Libra;09-24;10-23
;Ardra 1,2,3,4;17;26;20;17;23;25;33;28;24;10;18;12;22;28;21;23;23;26;20;26;21;14;16;3;15;26;26;22;21;17;19;10;17;18;25;24;;Vriscika;Scorpio;10-24;11-22
;Punarvasu 1,2,3;18;26;21;18;23;23;31;25;28;14;21;15;21;27;21;23;23;24;18;26;21;14;21;6;12;26;26;22;23;17;19;10;17;18;27;25;;Dhanu;Saggitarius;11-23;12-22
Karka;Punarvasu 4;22;30;25;22;27;26;19;13;16;28;35;28;16;22;16;19;19;20;20;28;22;19;26;10;8;23;23;27;28;22;14;7;13;18;26;24;;Makara;Capricorn;12-22;01-20
;Pushya 1,2,3,4;31;23;26;23;26;19;10;20;23;35;28;28;18;16;25;28;28;12;12;28;21;18;18;20;17;13;24;28;26;13;5;15;20;25;19;27;;Kumbha;Aquarius;01-21;02-19
;Aslesha 1,2,3,4;27;24;23;20;13;22;15;13;16;28;30;28;16;16;18;21;21;26;26;15;19;15;21;26;24;17;9;13;15;28;20;20;14;18;20;13;;Meena;Pisces;02-20;03-20
Simha;Magha 1,2,3,4;21;21;17;19;12;21;24;23;22;15;18;15;28;30;26;17;17;23;25;13;17;21;24;31;25;21;11;6;17;18;25;26;19;16;17;12;;;;;
;Purvaphalguni 1,2,3,4;26;19;21;23;26;17;20;29;27;20;14;15;30;28;34;25;22;9;10;25;19;23;20;23;19;19;27;22;18;5;11;20;25;22;15;22;;;;;
;Uttara Phalgunī 1;17;28;22;24;28;25;28;22;21;14;23;17;26;34;28;19;17;15;17;25;18;21;29;16;9;27;28;23;20;12;19;13;17;14;25;22;;;;;
Kanya;Uttara Phalgunī 2,3,4;11;21;15;21;25;23;30;24;23;18;26;20;16;24;18;28;26;24;17;25;17;18;26;13;13;27;28;26;23;16;17;11;15;16;27;24;;;;;
;Hasta 1,2,3,4;9;19;15;21;26;27;34;24;24;18;27;20;16;22;16;25;28;27;20;27;18;19;27;12;13;26;27;25;25;18;21;8;17;18;26;26;;;;;
