Férfi ↓ Nő →;Aswini 1;Aswini 2;Aswini 3;Aswini 4;Bharani 1;Bharani 2;Bharani 3;Bharani 4;Krittika 1;Krittika 2;Krittika 3;Krittika 4;Rohini 1;Rohini 2;Rohini 3;Rohini 4;Mirigasrisam 1;Mirigasrisam 2;Mirigasirisam 3;Mirigasirisam 4;Adra 1;Adra 2;Adra 3;Adra 4;Punarpusam 1;Punarpusam 2;Punarpusam 3;Punarpusam 4;Poosam 1;Poosam 2;Poosam 3;Poosam 4;Ayilyam 1;Ayilyam 2;Ayilyam 3;Ayilyam 4;Magam 1;Magam 2;Magam 3;Magam 4;Pooram 1;Pooram 2;Pooram 3;Pooram 4;Utthiram 1;Utthiram 2;Utthiram 3;Utthiram 4;Astham 1;Astham 2;Astham 3;Astham 4;Chittirai 1;Chittirai 2;Chittirai 3;Chittirai 4;Swati 1;Swati 2;Swati 3;Swati 4;Visakam 1;Visakam 2;Visakam 3;Visakam 4;Anusham 1;Anusham 2;Anusham 3;Anusham 4;Ketai 1;Ketai 2;Ketai 3;Ketai 4;Mulam 1;Mulam 2;Mulam 3;Mulam 4;Pooradam 1;Pooradam 2;Pooradam 3;Pooradam 4;Utthiradam 1;Utthiradam 2;Utthiradam 3;Utthiradam 4;Thiruvonam 1;Thiruvonam 2;Thiruvonam 3;Thiruvonam 4;Avittam 1;Avittam 2;Avittam 3;Avittam 4;Sathayam 1;Sathayam 2;Sathayam 3;Sathayam 4;Pooratadhi 1;Pooratadhi 2;Pooratadhi 3;Pooratadhi 4;Utthiratadhi 1;Utthiratadhi 2;Utthiratadhi 3;Utthiratadhi 4;Revati 1;Revati 2;Revati 3;Revati 4
Aswini 1;28;28;19;19;21;21;21;21;19;19;19;22,5;25,5;25,5;25,5;25,5;29,5;29,5;29,5;29,5;18;18;18;18;22;22;22;22;27;22,5;22,5;22,5;19,5;19,5;19,5;19,5;19,5;19,5;15,5;15,5;20,5;20,5;20,5;20,5;11,5;11,5;11,5;23;20;20;20;20;26;26;26;26;19;19;19;19;17;17;17;17;22;24;24;24;13;13;14;14;13;13;15,5;15,5;29,5;29,5;29,5;27,5;26,5;26,5;26,5;27,5;26,5;26,5;26,5;26,5;21,5;21,5;29,5;29,5;9;9;9;9;14;14;14;14;19;29;29;29;34;34;34;34
Aswini 2;28;28;28;19;21;21;21;21;19;19;19;19;25,5;25,5;25,5;25,5;29,5;29,5;29,5;29,5;16,5;18;18;18;18,5;22;22;22;27;27;27;22,5;19,5;19,5;19,5;19,5;19,5;19,5;19,5;19,5;24,5;20,5;20,5;20,5;11,5;11,5;11,5;11,5;8,5;20;20;20;26;26;26;26;28;19;19;19;17;17;17;17;22;24;24;24;13;13;14;14;13;13;13;15,5;29,5;29,5;29,5;29,5;26,5;26,5;26,5;26,5;25,5;26,5;26,5;26,5;21,5;21,5;21,5;21,5;13,5;13,5;9;9;14;14;14;14;19;19;29;29;34;34;34;34
Aswini 3;28;28;28;19;21;21;21;21;19;19;19;22,5;25,5;25,5;25,5;25,5;29,5;29,5;29,5;29,5;16,5;18;18;18;22;22;22;22;27;27;27;22,5;19,5;19,5;19,5;19,5;19,5;19,5;19,5;19,5;24,5;20,5;20,5;20,5;11,5;11,5;11,5;11,5;8,5;20;20;20;26;26;26;26;28;19;19;19;17;17;17;17;22;24;24;24;13;13;14;14;13;13;13;15,5;29,5;29,5;29,5;29,5;26,5;26,5;26,5;26,5;25,5;26,5;26,5;26,5;21,5;21,5;21,5;21,5;13,5;13,5;9;9;14;14;14;14;19;19;19;29;34;34;34;34
Aswini 4;18;18;18;28;33;33;33;33;28;28;28;20;23;23;23;23;27;27;27;27;14;14,5;14,5;14,5;18,5;18,5;18,5;18,5;23,5;23,5;23,5;23,5;20,5;20,5;20,5;20,5;20,5;20,5;20,5;20,5;25,5;25;25;25;16;16;16;16;13;13;13;13;19;19;19;19;21;26;26;26;24;24;24;24;29;18,5;18,5;18,5;7,5;7,5;8,5;8,5;7,5;7,5;7,5;13;27;27;27;27;24;24;24;24;23;31;31;31;26;26;26;26;18;18;11,5;11,5;16,5;16,5;16,5;16,5;16,5;21,5;19;19;24;24;24;24
Bharani 1;21;21;31;31;28;28;28;28;29;29;29;18;27;27;27;27;13;13;13;13;26;26,5;26,5;26,5;20,5;20,5;20,5;20,5;16,5;16,5;16,5;16,5;17,5;17,5;17,5;17,5;20,5;20,5;20,5;20,5;18;18;18;18;26;26;26;26;24;24;24;24;8;8;8;8;24;29;29;29;21;21;21;21;20;9,5;9,5;9,5;11,5;11,5;12,5;12,5;15,5;15,5;15,5;21;20;20;20;20;25;25;25;25;23;31;31;31;14;14;14;14;27;27;20,5;20,5;21,5;21,5;21,5;21,5;18,5;18,5;18,5;16;20;20;20;20
Bharani 2;21;21;21;31;28;28;28;28;29;29;29;29;27;27;27;27;13;13;13;13;26;26,5;26,5;26,5;20,5;20,5;20,5;20,5;16,5;16,5;16,5;16,5;17,5;17,5;17,5;17,5;20,5;20,5;20,5;20,5;18;18;18;18;26;26;26;26;24;24;24;24;8;8;8;8;24;29;29;29;21;21;21;21;20;9,5;9,5;9,5;11,5;11,5;12,5;12,5;15,5;15,5;15,5;21;20;20;20;20;25;25;25;25;23;31;31;31;14;14;14;14;27;27;20,5;20,5;21,5;21,5;21,5;21,5;18,5;18,5;18,5;16;20;20;20;20
Bharani 3;21;21;21;31;28;28;28;28;29;29;29;18;27;27;27;27;13;13;13;13;26;26,5;26,5;26,5;20,5;20,5;20,5;20,5;16,5;16,5;16,5;16,5;17,5;17,5;17,5;17,5;20,5;20,5;20,5;20,5;18,5;18;18;18;26;26;26;26;24;24;24;24;8;8;8;8;24;29;29;29;21;21;21;21;20;9,5;9,5;9,5;11,5;11,5;12,5;12,5;15,5;15,5;21;21;20;20;20;20;25;25;25;25;23;31;31;31;14;14;14;14;27;27;20,5;20,5;21,5;21,5;21,5;21,5;18,5;18,5;18,5;16;20;20;20;20
Bharani 4;21;21;31;31;28;28;28;28;29;29;29;18;27;27;27;27;13;13;13;13;26;26,5;26,5;26,5;20,5;20,5;20,5;20,5;16,5;16,5;16,5;16,5;17,5;17,5;17,5;17,5;20,5;20,5;20,5;20,5;18,5;18;18;18;26;26;26;26;24;24;24;24;8;8;8;6;24;29;29;29;21;21;21;21;20;9,5;9,5;9,5;11,5;11,5;12,5;12,5;15,5;15,5;21;20;20;20;20;20;25;25;25;25;23;31;31;31;14;14;14;14;27;27;20,5;20,5;21,5;21,5;21,5;21,5;18,5;18,5;16;16;20;20;20;20
Krittika 1;16;16;26;26;32;32;32;32;28;28;28;20;12;12;12;12;21;21;21;21;19;19,5;19,5;19,5;21,5;21,5;21,5;21,5;20,5;20,5;20,5;20,5;18,5;18,5;18,5;18,5;14,5;14,5;14,5;14,5;22;22;22;22;24;24;24;24;22;22;22;22;25;25;25;25;11;16;16;16;22;22;22;22;23;12,5;12,5;12,5;20,5;20,5;21,5;21,5;17,5;17,5;23;22;22;22;22;22;15;15;15;15;10;18;18;18;32;32;32;32;30;30;23,5;23,5;22,5;22,5;22,5;22,5;21,5;21,5;19;19;12;12;12;12
Krittika 2;16;16;26;26;32;32;32;32;28;28;28;20;12;12;12;12;21;21;21;21;19;19,5;19,5;19,5;21,5;21,5;21,5;21,5;20,5;20,5;20,5;20,5;18,5;18,5;18,5;18,5;14,5;14,5;14,5;14,5;22,5;22;22;22;24;24;24;24;22;22;22;22;25;25;25;25;11;16;16;16;22;22;22;22;23;12,5;12,5;12,5;20,5;20,5;21,5;21,5;17,5;17,5;17,5;23;22;22;22;22;15;15;15;15;10;18;18;18;32;32;32;32;30;30;30;23,5;22,5;22,5;22,5;22,5;21,5;21,5;19;19;12;12;12;12
Krittika 3;16;16;26;26;32;32;32;32;28;28;28;20;12;12;12;12;21;21;21;21;19;19,5;19,5;19,5;21,5;21,5;21,5;21,5;20,5;20,5;20,5;20,5;18,5;18,5;18,5;18,5;14,5;14,5;14,5;14,5;22,5;22;22;22;24;24;24;24;22;22;22;22;25;25;25;25;11;16;16;16;22;22;22;22;23;12,5;12,5;12,5;20,5;20,5;21,5;21,5;17,5;17,5;17,5;23;22;22;22;22;15;15;15;15;10;18;18;18;32;32;32;32;30;30;23,5;23,5;22,5;22,5;22,5;22,5;21,5;21,5;19;19;12;12;12;12
Krittika 4;19,5;19,5;19,5;17;23;23;23;23;19;19;19;28;23;23;23;23;29;29;29;29;27;13,5;13,5;13,5;15,5;15,5;15,5;15,5;14,5;14,5;14,5;25;23;23;23;23;19;19;19;19;29;29;29;29;31;31;31;31;29;23;23;23;26;26;26;26;12;5,5;5,5;5,5;11,5;11,5;11,5;11,5;12,5;25;25;25;33;33;32;32;28;28;28;20;19;19;19;19;13,5;13,5;13,5;8,5;8,5;11;11;11;25;25;25;25;23;23;24;24;23;23;23;23;22;22;22,5;22,5;15,5;15,5;15,5;15,5
Rohini 1;25,5;25,5;23;23;23;23;23;23;11;11;11;20;28;28;28;28;33;33;33;33;34;20,5;20,5;20,5;13,5;13,5;13,5;13,5;17,5;17,5;28;28;13;13;13;13;16;16;16;16;27;29;29;29;32;32;32;32;29;23;23;23;21;21;21;21;15;8,5;8,5;8,5;3,5;3,5;3,5;3,5;17,5;30;30;30;24;24;23;23;26;26;26;18;21;21;21;21;13,5;13,5;13,5;13,5;12,5;15;15;15;20;20;20;20;21;21;22;22;24;24;24;24;26;26;26;26,5;14,5;14,5;14,5;14,5
Rohini 2;25,5;25,5;23;23;23;23;23;23;11;11;11;20;28;28;28;28;33;33;33;33;34;20,5;20,5;20,5;13,5;13,5;13,5;13,5;17,5;17,5;17,5;28;13;13;13;13;16;16;16;16;29;29;29;29;32;32;32;32;29;23;23;23;21;21;21;21;15;8,5;8,5;8,5;3,5;3,5;3,5;3,5;17,5;30;30;30;24;24;23;23;26;26;26;18;21;21;21;21;13,5;13,5;13,5;13,5;12,5;15;15;15;20;20;20;20;21;21;22;22;24;24;24;24;26;26;26,5;26,5;14,5;14,5;14,5;14,5
Rohini 3;25,5;25,5;23;23;23;23;23;23;11;11;11;20;28;28;28;28;33;33;33;33;34;20,5;20,5;20,5;13,5;13,5;13,5;13,5;17,5;17,5;17,5;28;13;13;13;13;16;16;16;16;29;29;29;29;32;32;32;32;23;23;23;23;21;21;21;21;15;8,5;8,5;8,5;3,5;3,5;3,5;3,5;17,5;30;30;30;24;24;23;23;26;26;26;18;21;21;21;21;13,5;13,5;13,5;13,5;12,5;15;15;15;20;20;20;20;21;21;22;22;24;24;24;24;26;26;26,5;26,5;14,5;14,5;14,5;14,5
Rohini 4;25,5;25,5;25,5;23;23;23;23;23;11;11;11;20;28;28;28;28;33;33;33;33;34;20,5;20,5;20,5;13,5;13,5;13,5;13,5;17,5;17,5;17,5;28;13;13;13;13;16;16;16;16;29;29;29;29;32;32;32;32;29;23;23;23;21;21;21;21;15;8,5;8,5;8,5;3,5;3,5;3,5;3,5;17,5;30;30;30;24;24;23;23;26;26;26;18;21;21;21;21;13,5;13,5;13,5;13,5;12,5;15;15;15;20;20;20;20;21;21;22;22;24;24;24;24;26;26;26,5;26,5;14,5;14,5;14,5;14,5
Mirigasrisam 1;25,5;25,5;23;23;17;17;17;17;16;16;16;25;35;35;35;35;28;28;28;28;33;16,5;16,5;16,5;19,5;19,5;19,5;19,5;9,5;9,5;9,5;20;24;24;24;24;21;21;21;21;23;23;23;23;28;28;28;28;32;26;26;26;13;13;13;13;26;19,5;19,5;19,5;14,5;14,5;14,5;14,5;9,5;22;22;22;27;27;26;26;23;23;23;15;15;15;15;18;17,5;17,5;17,5;17,5;23,5;26;26;26;12;12;12;12;21;21;22;22;26;26;26;26;14;14;14,5;14,5;28,5;28,5;28,5;28,5
Mirigasrisam 2;25,5;25,5;23;23;17;17;17;17;16;16;16;25;35;35;35;35;28;28;28;28;33;16,5;16,5;16,5;19,5;19,5;19,5;19,5;9,5;9,5;9,5;20;24;24;24;24;21;21;21;21;23;23;23;23;28;28;28;28;26;26;26;26;13;13;13;13;26;19,5;19,5;19,5;14,5;14,5;14,5;14,5;9,5;22;22;22;27;27;26;26;23;23;23;15;15;15;15;15;17,5;17,5;17,5;17,5;23,5;26;26;26;12;12;12;12;21;21;22;22;26;26;26;26;14;14;14,5;14,5;28,5;28,5;28,5;28,5
Mirigasrisam 3;25,5;25,5;23;23;17;17;17;17;16;16;16;25;35;35;35;35;28;28;28;28;33;16,5;16,5;16,5;19,5;19,5;19,5;19,5;9,5;9,5;9,5;20;24;24;24;24;21;21;21;21;23;23;23;23;28;28;28;28;32;26;26;26;13;13;13;13;26;19,5;19,5;19,5;14,5;14,5;14,5;14,5;9,5;22;22;22;27;27;26;26;23;23;23;15;15;15;15;15;17,5;17,5;17,5;17,5;23,5;26;26;26;12;12;12;12;21;21;22;22;26;26;26;26;14;14;14,5;14,5;28,5;28,5;28,5;28,5
